"11","(ukjent)","(ukjent)"
"17031","(ukjent)","(ukjent)"
"500387","Handling og dømmekraft","(ukjent)"
"500403","Gruppemetode for sosial- og helsearbeidere","(ukjent)"
"500408","Metode og oppgaveskriving for studenter","(ukjent)"
"500417","Kunst og håndverk","(ukjent)"
"500451","Vernepleier - utdanning og yrke i et faglig og etisk perspektiv","978-82-488-0023-1"
"500471","Et fag i kamp for livet","82-7674-456-7"
"500473","Sykepleiehistorie","978-82-05-34951-3"
"500476","Klinisk sykepleie Bind 1","978-82-05-28764-8"
"500477","Klinisk sykepleie Bind 2","978-82-05-28765-5"
"500479","Sykepleie og jus","978-82-05-36551-3"
"500484","Oppgaveskrivingens ABC","978-82-15-01302-2"
"500485","Finansregnskap","978-82-450-0416-8"
"500486","Farmakologi for sykepleiere og vernepleiere","978-82-518-4041-5"
"500489","Sykepleieboken","978-82-7950-111-4"
"500490","Sykepleieboken","978-82-7950-086-5"
"500498","Tilpasset opplæring og flerfaglig samarbeid","878-82-7634-668-8"
"500499","Tausheten og øyeblikket","978-82-7634-739-5"
"500501","Språk og argumentasjon for samfunnsvitere","978-82-450-0476-2"
"500502","Filosofi for samfunnsvitere","978-82-15-01334-3"
"500503","Tall kan temmes!","978-82-7147-307-5"
"500504","Å forstå avisa","978-82-450-0467-0"
"500505","Hva er fundamentalisme","978-82-15-01091-5"
"500506","Tegn, tekst og samfunn","978-82-7935-148-1"
"500507","Europeisk integrasjon","978-82-05-32837-2"
"500509","Spillteori","978-82-15-01296-4"
"500511","Internasjonalt samarbeid og internasjonal organisasjon","978-82-15-01204-9"
"500512","Web-medier","978-82-15-00818-9"
"500513","Fjern og nær","978-82-417-0673-8"
"500514","Nasjonalregnskapet","978-82-15-00932-2"
"500517","Kvalitetssikring og internkontroll i bygg og anlegg","978-82-8021-063-0"
"500518","Materialkunnskap","978-82-8021-021-0"
"500522","Motivation to learn","0-205-34285-x"
"500523","Idrettssosiologi","978-82-7935-264-8"
"500527","Læringsplakaten","978-82-7634-733-3"
"500528","Medisinsk og helsefaglig etikk","978-82-05-36260-4"
"500530","Jus i helse- og sosialtjenesten","978-82-04-11563-8"
"500531","Etikk og kommunikasjon","978-82-04-08514-6"
"500532","Introduksjon til samfunnsvitenskapene","978-82-15-01316-9"
"500538","(ukjent)","(ukjent)"
"500540","(ukjent)","(ukjent)"
"500542","(ukjent)","(ukjent)"
"500549","(ukjent)","(ukjent)"
"500550","(ukjent)","(ukjent)"
"500551","(ukjent)","(ukjent)"
"500552","(ukjent)","(ukjent)"
"500557","(ukjent)","(ukjent)"
"500558","(ukjent)","(ukjent)"
"500559","(ukjent)","(ukjent)"
"500565","(ukjent)","(ukjent)"
"500570","(ukjent)","(ukjent)"
"500572","(ukjent)","(ukjent)"
"500573","(ukjent)","(ukjent)"
"500574","(ukjent)","(ukjent)"
"500580","(ukjent)","(ukjent)"
"500581","(ukjent)","(ukjent)"
"500583","(ukjent)","(ukjent)"
"500584","(ukjent)","(ukjent)"
"500585","Kunnskapssyn og pedagogikk","82-519-1127-3"
"500586","(ukjent)","(ukjent)"
"500591","(ukjent)","(ukjent)"
"500595","(ukjent)","(ukjent)"
"500596","(ukjent)","(ukjent)"
"500597","Lærebok i barnepsykiatri","978-82-15-01355-8"
"500598","(ukjent)","(ukjent)"
"500600","(ukjent)","(ukjent)"
"500601","Konflikt og konfliktforståelse","978-82-05-32331-5"
"500602","Håndtering av konflikter og trakassering i arbeidslivet","978-82-10-04920-0"
"500608","(ukjent)","(ukjent)"
"500609","Ledelse i teori og praksis","(ukjent)"
"500612","Kan fengsel forsvares?","(ukjent)"
"500614","(ukjent)","(ukjent)"
"500615","Moralfilosofiens elementer","978-82-450-0559-2"
"500616","Norsk mediehistorie","(ukjent)"
"500617","Den Flyvende hollender","978-82-92947-00-5"
"500620","Kampen om kunnskapsskolen","978-82-15-01090-8"
"500621","Kampen om kunnskapsskolen","978-82-15-01090-8"
"500622","Opplæringsteori og læreplanforståelse","82-7518-138-0"
"500624","Motivasjon og selvforståelse","978-82-15-01078-6"
"500625","Å bekjempe lav selvfølelse","978-82-519-2080-3"
"500626","Likeverd i praksis","82-7634-636-7"
"500636","Den gode oppgaven","82-450-0452-9"
"500637","Utredning og diagnostisering","978-82-15-01301-5"
"500640","Teamet","978-82-15-00520-1"
"500641","Etikk","978-82-05-38591-7"
"500642","Jus i eldreomsorgen","82-446-1008-5"
"500643","Personer med demens","978-82-7950-107-7"
"500644","Hvordan arbeide med nytestamentlige tekster","978-82-300-0034-4"
"500645","Pedagogisk arbeid med elever som bruker punktskrift","(ukjent)"
"500646","Pedagogisk arbeid med elever som bruker punktskrift","(ukjent)"
"500647","(ukjent)","(ukjent)"
"500649","Knophs oversikt over Norges rett","978-82-15-01406-7"
"500653","Trange rom og åpne plasser","(ukjent)"
"500656","Moraldannende kretsløp","978-82-7935-246-4"
"500657","Kunst- og uttrykksterapi","82-15-00197-1"
"500658","Pepp-effekten","82-7979-001-2"
"500660","Rus","(ukjent)"
"500662","Samfunnsrettet pedagogikk - nå","82-7518-092-9"
"500663","Etniske minoritetsfamilier og sosialt arbeid","9 788205 383685"
"500664","Strategisk kompetansestyring","978-82-7674-886-4"
"500665","Rett person på rett plass","978-82-05-32620-0"
"500666","Helsepsykologi","978 82 05 390751"
"500668","Leve skolen!","82-7518-109-7"
"500671","Invitasjon til sosiologi","82-530-1527-5"
"500672","Forvaltning og politikk","978-82-15-01199-8"
"500673","Selvfølelsen","978-82-05-38476-7"
"500674","Linux tjenestedrift","82-05-31146-3"
